247wallst.com,Q68896999,24/7 Wall St.
9news.com.au,Q7038406,Nine News
abc13.com,Q381717,KTRK-TV
abc-7.com,Q3029971,KABC-TV
abc7news.com,Q645086,KGO-TV
abc7ny.com,Q2699014,WABC-TV
abc.net.au,Q781365,Australian Broadcasting Corporation
abcnews.com,Q287171,ABC News
abcnews.go.com,Q287171,ABC News
adn.com,Q489214,Alaska Dispatch News
advisorperspectives.com,Q68900473,Advisor Perspectives
adweek.com,Q1134747,Adweek
afp.com,Q40464,Agence France-Presse
af.reuters.com,Q130879,Reuters
ajc.com,Q3092348,The Atlanta Journal-Constitution
ala.org,Q465584,American Library Association
al.com,Q68901679,Alabama Media Group
aljazeera.com,Q4727585,Aljazeera.com
allaccess.com,Q68904077,All Access Music Group
alternet.org,Q2927330,AlterNet
americanthinker.com,Q4050936,American Thinker
amna.gr,Q2634425,Athens News Agency
anandtech.com,Q4751228,AnandTech
androidcentral.com,Q66798140,Android Central
anncoulter.com,Q266611,Ann Coulter
annistonstar.com,Q7713857,Anniston Star
anonews.co,Q68906861,AnonNews
ansa.it,Q392934,Agenzia Nazionale Stampa Associata
antaranews.com,Q571116,Antara
ap.org,Q40469,Associated Press
app.com,Q4803751,Asbury Park Press
arkansasmatters.com,Q6325247,KARK-TV
arstechnica.com,Q584152,Ars Technica
asahi.com,Q720503,Asahi Shimbun
asia.nikkei.com,Q1077694,Nihon Keizai Shimbun
asiaradiotoday.com,Q68908550,AsiaRadioToday
astrobio.net,Q29017985,Astrobiology Magazine
auburnpub.com,Q7723133,The Citizen
azbusinessdaily.com,Q68914209,Arizona Business Daily
azcentral.com,Q1514991,The Arizona Republic
azfamily.com,Q3191538,KTVK
backchannel.com,Q20311948,Backchannel
bakersfield.com,Q7715364,The Bakersfield Californian
baltictimes.com,Q1806290,The Baltic Times
baltimore.cbslocal.com,Q3564704,WJZ-TV
baltimoresun.com,Q47287,The Baltimore Sun
bangkokpost.com,Q806491,Bangkok Post
baptistmessenger.com,Q4857659,Baptist Messenger
baselinemag.com,Q68916049,Baseline Magazine
bbc.com,Q747860,BBC Online
bbc.co.uk,Q747860,BBC Online
bgr.com,Q4952075,Boy Genius Report
bigstory.ap.org,Q40469,Associated Press
bitcoinist.com,Q68918228,Bitcoinist
bleacherreport.com,Q2906353,Bleacher Report
bleepingcomputer.com,Q4925939,Bleeping Computer
bloomberg.com,Q14270642,Bloomberg News
bna.bh,Q4842752,Bahrain News Agency
borneobulletin.com.bn,Q4946070,Borneo Bulletin
boston.cbslocal.com,Q7947559,WBZ-TV
boston.com,Q4947705,Boston.com
bostonherald.com,Q773802,Boston Herald
bradenton.com,Q7719788,The Bradenton Herald
breitbart.com,Q4960434,Breitbart News
britznbeatz.co.uk,Q68921530,Britznbeatz
buchanan.org,Q149127,Pat Buchanan
buffalonews.com,Q1390786,The Buffalo News
bundyranch.blogspot.com,Q22082722,Cliven Bundy
burlingtoncountytimes.com,Q4999230,Burlington County Times
businessinsider.com,Q286707,Business Insider
businesslive.co.za,Q5001709,Business Day
business-standard.com,Q2307816,Business Standard
buzzfeed.com,Q5003490,BuzzFeed
caintv.com,Q491019,Herman Cain
cambodiadaily.com,Q3057820,The Cambodia Daily
capitalgazette.com,Q3520197,The Capital
ca.reuters.com,Q130879,Reuters
catholicherald.co.uk,Q633906,Catholic Herald
cato.org,Q1051256,Cato Institute
cbc.ca,Q461761,Canadian Broadcasting Corporation
cbs5az.com,Q3191480,KPHO-TV
cbs8.com,Q6329080,KFMB-TV
cbsnews.com,Q861764,CBS News
cbssports.com,Q2931052,CBS Sports
channel4.com,Q501070,Channel 4
channelnewsasia.com,Q40238,CNA
channelnews.com.au,Q68922421,ChannelNews
charlotteobserver.com,Q5486310,The Charlotte Observer
chicago.cbslocal.com,Q7947005,WBBM-TV
chicago.suntimes.com,Q577417,Chicago Sun-Times
chicagotribune.com,Q47596,Chicago Tribune
chinadailyasia.com,Q851422,China Daily
chinadaily.com.cn,Q851422,China Daily
china.org.cn,Q907111,China Internet Information Center
chinapost.com.tw,Q699007,The China Post
christianpost.com,Q7722722,The Christian Post
christiantoday.com,Q43261592,Christian Today
cio.com,Q5011807,CIO magazine
cioinsight.com,Q68926203,CIO Insight
citizensvoice.com,Q7723138,Citizens Voice
clarkstown.dailyvoice.com,Q7728736,The Daily Voice
cleveland.com,Q286036,The Plain Dealer
cnbc.com,Q1023912,CNBC
cnet.com,Q1544247,CNET
cnn.com,Q48340,CNN
cnsnews.com,Q5197758,Cybercast News Service
coindesk.com,Q18348227,CoinDesk
commercialappeal.com,Q7726978,The Commercial Appeal
computerworld.com,Q1755724,Computerworld
concordmonitor.com,Q5158825,Concord Monitor
courant.com,Q1587159,Hartford Courant
couriermail.com.au,Q2095955,The Courier-Mail
